atime,name.1,zeros,w.1.1,link.1.2,name.2,p.1.2,w.2.1
0.1088,user1,0,1,user11,webserver,1297,28
0.1707,user1,0,189,user11,webserver,1246,29
0.2176,user1,0,164,user11,webserver,1432,2508
0.7029,user1,0,18,user11,webserver,1468,45
0.7409,user1,0,36,user11,webserver,1997,9
0.7887,user1,0,165,user11,webserver,1200,1371
0.9236,user1,0,383,user11,webserver,1748,14
0.9351,user1,0,43,user11,webserver,1472,22
1.0883,user1,0,404,user11,webserver,1468,370
1.1065,user1,0,71,user11,webserver,1827,17
1.2197,user1,0,0,user11,webserver,1654,92
1.2875,user1,0,38,user11,webserver,1508,100
1.3107,user1,0,37,user11,webserver,1807,82
2.1412,user1,0,2,user11,webserver,1599,171
2.1708,user1,0,127,user11,webserver,1779,12
2.4572,user1,0,16,user11,webserver,836,33
2.4859,user1,0,1423,user11,webserver,2333,145
2.5523,user1,0,471,user11,webserver,1301,9
2.5796,user1,0,477,user11,webserver,1487,689
2.6184,user1,0,8,user11,webserver,1342,88
2.9312,user1,0,1,user11,webserver,1765,110
3.0291,user1,0,74,user11,webserver,1389,62
3.1017,user1,0,515,user11,webserver,1084,482
3.3816,user1,0,19,user11,webserver,1232,162
3.4488,user1,0,697,user11,webserver,1561,343
3.8802,user1,0,10,user11,webserver,1175,8
3.9296,user1,0,80,user11,webserver,1964,51
3.9666,user1,0,60,user11,webserver,938,81
4.0176,user1,0,80,user11,webserver,1485,11
4.2566,user1,0,792,user11,webserver,1670,78
4.2693,user1,0,11,user11,webserver,1479,13
4.4935,user1,0,19,user11,webserver,1887,784
4.5652,user1,0,257,user11,webserver,1742,2056
4.8108,user1,0,38,user11,webserver,1721,214
5.0709,user1,0,81,user11,webserver,1653,448
5.258,user1,0,313,user11,webserver,1268,117
5.2649,user1,0,161,user11,webserver,2063,3741
5.6049,user1,0,12,user11,webserver,1736,69
5.6696,user1,0,779,user11,webserver,808,420
5.7771,user1,0,31,user11,webserver,1087,17
6.0194,user1,0,84,user11,webserver,1504,3
6.1774,user1,0,407,user11,webserver,1386,5
6.218,user1,0,50,user11,webserver,1434,607
6.3502,user1,0,139,user11,webserver,1318,89
6.392,user1,0,35,user11,webserver,1666,36
6.6439,user1,0,384,user11,webserver,1525,9
7.1603,user1,0,98,user11,webserver,1350,5
7.2614,user1,0,71,user11,webserver,1694,74
7.2743,user1,0,168,user11,webserver,1208,230
7.2934,user1,0,36,user11,webserver,1466,33
7.6833,user1,0,19,user11,webserver,1096,2925
8.0558,user1,0,66,user11,webserver,985,15
8.1503,user1,0,92,user11,webserver,1743,5
8.2402,user1,0,291,user11,webserver,1626,80
8.2547,user1,0,47,user11,webserver,1270,100
8.5989,user1,0,315,user11,webserver,1525,17
8.6971,user1,0,14,user11,webserver,1426,152
8.7544,user1,0,28,user11,webserver,1776,11
8.8877,user1,0,91,user11,webserver,1026,15
9.3284,user1,0,1252,user11,webserver,1295,206
9.3521,user1,0,0,user11,webserver,1467,59
9.3795,user1,0,240,user11,webserver,1622,114
9.4635,user1,0,144,user11,webserver,1486,150
9.4794,user1,0,11,user11,webserver,1553,74
9.5131,user1,0,7347,user11,webserver,1917,1202
9.5852,user1,0,138,user11,webserver,1340,99
9.9278,user1,0,177,user11,webserver,1643,262
10.3962,user1,0,97,user11,webserver,1651,93
10.5714,user1,0,3,user11,webserver,2161,19
10.5992,user1,0,118,user11,webserver,1151,87
10.9029,user1,0,2,user11,webserver,1456,57
10.9189,user1,0,35,user11,webserver,1966,44
11.1278,user1,0,32,user11,webserver,1388,55
11.1618,user1,0,68,user11,webserver,1427,90
11.347,user1,0,12,user11,webserver,1216,1397
11.3621,user1,0,7,user11,webserver,1917,104
12.0574,user1,0,45,user11,webserver,1783,495
12.1879,user1,0,344,user11,webserver,1784,13
12.3339,user1,0,135,user11,webserver,1755,15
12.4383,user1,0,54,user11,webserver,1282,9
12.491,user1,0,883,user11,webserver,1205,48
12.8818,user1,0,25,user11,webserver,1732,6
12.9073,user1,0,7,user11,webserver,1352,21
12.9523,user1,0,83,user11,webserver,1364,133
13.0472,user1,0,3,user11,webserver,1345,166
13.0891,user1,0,4,user11,webserver,1672,7
13.1325,user1,0,179,user11,webserver,1199,9
13.1573,user1,0,164,user11,webserver,1181,217
13.3302,user1,0,90,user11,webserver,1429,20
13.4893,user1,0,111,user11,webserver,1592,54
13.5029,user1,0,71,user11,webserver,1508,49
14.1124,user1,0,1,user11,webserver,1626,25
14.2081,user1,0,50,user11,webserver,1276,50
14.5427,user1,0,3481,user11,webserver,1200,89
14.5694,user1,0,14,user11,webserver,1737,9
14.5909,user1,0,17,user11,webserver,1187,7
14.7292,user1,0,52,user11,webserver,1419,1019
14.8906,user1,0,42,user11,webserver,1532,199
14.9482,user1,0,503,user11,webserver,1621,110
15.0257,user1,0,79,user11,webserver,1498,187
15.0479,user1,0,239,user11,webserver,2037,220
15.2724,user1,0,347,user11,webserver,1866,91
