atime,name.1,zeros,w.1.1,link.1.2,name.2,p.1.2,w.2.1
0.2941,user2,0,20,user21,webserver2,1597,47
0.377,user2,0,51,user21,webserver2,1421,54
0.4818,user2,0,10,user21,webserver2,1745,111
0.5646,user2,0,5,user21,webserver2,1740,1
0.9083,user2,0,25,user21,webserver2,1600,172
1.9921,user2,0,15,user21,webserver2,1583,25
2.0321,user2,0,278,user21,webserver2,1563,12
2.0902,user2,0,36,user21,webserver2,1709,5
2.1687,user2,0,43,user21,webserver2,1696,137
2.2045,user2,0,35,user21,webserver2,1728,30
2.5581,user2,0,10,user21,webserver2,1238,3
2.7321,user2,0,189,user21,webserver2,2033,33
2.7426,user2,0,394,user21,webserver2,1689,145
2.7975,user2,0,2497,user21,webserver2,1051,63
3.1294,user2,0,116,user21,webserver2,1687,526
3.2867,user2,0,872,user21,webserver2,1857,46
3.3232,user2,0,37,user21,webserver2,1117,116
3.3451,user2,0,36,user21,webserver2,1238,216
3.4326,user2,0,19,user21,webserver2,1583,14
3.6513,user2,0,74,user21,webserver2,1375,746
3.7498,user2,0,62,user21,webserver2,1664,131
4.3513,user2,0,22,user21,webserver2,1250,2506
4.4907,user2,0,66,user21,webserver2,1416,35
4.692,user2,0,629,user21,webserver2,1527,28
4.7692,user2,0,1172,user21,webserver2,1940,178
4.8084,user2,0,1,user21,webserver2,2140,5433
4.8907,user2,0,44,user21,webserver2,1351,218
4.9701,user2,0,19,user21,webserver2,1470,31
5.6758,user2,0,56,user21,webserver2,1754,102
5.7554,user2,0,12,user21,webserver2,1187,13
5.8708,user2,0,7,user21,webserver2,1948,23
5.8831,user2,0,72,user21,webserver2,1840,328
6.5182,user2,0,13,user21,webserver2,1570,1267
6.5435,user2,0,118,user21,webserver2,1866,316
6.6588,user2,0,303,user21,webserver2,1484,38
7.0923,user2,0,91,user21,webserver2,1916,39
7.1064,user2,0,23,user21,webserver2,1144,35
7.1655,user2,0,274,user21,webserver2,1326,78
7.3799,user2,0,68,user21,webserver2,1920,57
7.4783,user2,0,138,user21,webserver2,1596,3330
7.6828,user2,0,44,user21,webserver2,1802,25
7.8564,user2,0,10,user21,webserver2,1342,1365
7.9205,user2,0,52,user21,webserver2,1463,68
8.0731,user2,0,274,user21,webserver2,1429,290
8.1519,user2,0,59,user21,webserver2,1627,148
8.2144,user2,0,189,user21,webserver2,1661,125
8.4047,user2,0,47,user21,webserver2,1921,20
8.8136,user2,0,35,user21,webserver2,1692,135
8.8406,user2,0,22,user21,webserver2,1709,36
9.1748,user2,0,102,user21,webserver2,1438,3
9.4413,user2,0,10,user21,webserver2,1313,83
9.5123,user2,0,94,user21,webserver2,1699,210
9.5343,user2,0,44,user21,webserver2,1846,405
9.895,user2,0,345,user21,webserver2,1629,166
9.9688,user2,0,12,user21,webserver2,1212,243
10.0832,user2,0,40,user21,webserver2,1665,3
10.0984,user2,0,85,user21,webserver2,1504,63
10.2119,user2,0,23,user21,webserver2,1633,14
10.2332,user2,0,85,user21,webserver2,1595,297
10.3344,user2,0,7,user21,webserver2,1181,250
10.6438,user2,0,88,user21,webserver2,1667,215
10.9898,user2,0,20,user21,webserver2,1367,5
11.1414,user2,0,324,user21,webserver2,1802,20
11.2015,user2,0,23,user21,webserver2,1208,5
11.236,user2,0,187,user21,webserver2,1799,151
11.3179,user2,0,22,user21,webserver2,1637,21
11.3347,user2,0,343,user21,webserver2,1366,10
11.3587,user2,0,636,user21,webserver2,1146,45
11.7793,user2,0,26,user21,webserver2,1730,591
11.9482,user2,0,120,user21,webserver2,1578,53
12.1505,user2,0,40,user21,webserver2,1649,156
12.1848,user2,0,351,user21,webserver2,1004,14
12.287,user2,0,17096,user21,webserver2,2102,44
12.4025,user2,0,20,user21,webserver2,1517,24
12.4702,user2,0,37,user21,webserver2,937,37
12.5482,user2,0,76,user21,webserver2,1961,1
12.7729,user2,0,30,user21,webserver2,1722,62
12.9524,user2,0,1,user21,webserver2,1378,79
12.9806,user2,0,76,user21,webserver2,1652,179
13.1132,user2,0,476,user21,webserver2,1235,140
13.175,user2,0,151,user21,webserver2,1355,25
13.3876,user2,0,18,user21,webserver2,2028,169
13.5312,user2,0,192,user21,webserver2,1271,121
13.6357,user2,0,218,user21,webserver2,1807,159
14.0992,user2,0,9,user21,webserver2,1787,46
14.1359,user2,0,205,user21,webserver2,1283,61
14.1477,user2,0,39,user21,webserver2,2151,59
14.5716,user2,0,7,user21,webserver2,1603,67
14.6056,user2,0,0,user21,webserver2,1490,8
14.693,user2,0,117,user21,webserver2,1670,202
14.7697,user2,0,112,user21,webserver2,1244,455
15.0724,user2,0,75,user21,webserver2,1221,248
15.1961,user2,0,53,user21,webserver2,1185,1
15.2292,user2,0,406,user21,webserver2,1667,318
15.3549,user2,0,696,user21,webserver2,1097,40
15.927,user2,0,239,user21,webserver2,1131,8
16.0739,user2,0,104,user21,webserver2,1957,357
16.2689,user2,0,316,user21,webserver2,1350,3365
16.427,user2,0,317,user21,webserver2,1538,1
16.4344,user2,0,4,user21,webserver2,1311,354
16.4645,user2,0,89,user21,webserver2,1487,1653
16.6295,user2,0,136,user21,webserver2,1155,5
16.6641,user2,0,10,user21,webserver2,1084,108
16.6934,user2,0,4101,user21,webserver2,1468,691
16.8033,user2,0,229,user21,webserver2,1137,38
17.1371,user2,0,176,user21,webserver2,1275,1
17.3337,user2,0,90,user21,webserver2,1773,61
17.3872,user2,0,37,user21,webserver2,1835,104
17.4882,user2,0,467,user21,webserver2,1374,2408
17.587,user2,0,92,user21,webserver2,1228,93
17.6146,user2,0,16,user21,webserver2,2091,10130
17.9132,user2,0,112,user21,webserver2,927,300
18.0234,user2,0,271,user21,webserver2,1328,190
18.162,user2,0,63,user21,webserver2,1371,94
18.2858,user2,0,42,user21,webserver2,1137,238
18.3923,user2,0,165,user21,webserver2,1570,254
18.7953,user2,0,38,user21,webserver2,1633,2
18.8578,user2,0,269,user21,webserver2,1470,639
19.0061,user2,0,54,user21,webserver2,1448,28
19.0841,user2,0,88,user21,webserver2,2069,106
19.2252,user2,0,6,user21,webserver2,1765,18
19.7548,user2,0,108,user21,webserver2,1679,80
19.9907,user2,0,8,user21,webserver2,1812,35
20.0335,user2,0,11,user21,webserver2,1527,17
20.226,user2,0,278,user21,webserver2,1022,10
20.7037,user2,0,25,user21,webserver2,1474,11
20.7524,user2,0,988,user21,webserver2,1149,1141
20.8054,user2,0,172,user21,webserver2,1666,169
20.8294,user2,0,68,user21,webserver2,1303,129
21.0736,user2,0,81,user21,webserver2,2158,45
21.2068,user2,0,35,user21,webserver2,1606,2
21.3361,user2,0,4079,user21,webserver2,1316,334
21.4017,user2,0,62,user21,webserver2,1609,77
21.6606,user2,0,212,user21,webserver2,1244,26
21.703,user2,0,36,user21,webserver2,1225,10
22.167,user2,0,20,user21,webserver2,1049,76
22.6838,user2,0,42,user21,webserver2,1634,390
22.7575,user2,0,14,user21,webserver2,1430,117
22.7982,user2,0,15,user21,webserver2,1313,18
22.943,user2,0,33,user21,webserver2,1480,54
23.229,user2,0,270,user21,webserver2,1328,4
23.6527,user2,0,242,user21,webserver2,1293,31
23.701,user2,0,90,user21,webserver2,1476,635
23.8517,user2,0,100,user21,webserver2,1601,56
23.9708,user2,0,958,user21,webserver2,1611,12
24.0128,user2,0,291,user21,webserver2,1454,181
24.0647,user2,0,250,user21,webserver2,1484,55
24.4301,user2,0,764,user21,webserver2,1086,14
25.1732,user2,0,28,user21,webserver2,1407,8
25.5006,user2,0,92,user21,webserver2,1593,26
26.0919,user2,0,141,user21,webserver2,1419,472
26.1316,user2,0,894,user21,webserver2,1404,72
26.1801,user2,0,262,user21,webserver2,1368,8497
26.3767,user2,0,145,user21,webserver2,1830,79
26.4006,user2,0,45,user21,webserver2,1605,150
26.6137,user2,0,115,user21,webserver2,1702,119
26.9333,user2,0,33,user21,webserver2,1451,149
27.2158,user2,0,159,user21,webserver2,1687,74
27.3607,user2,0,27,user21,webserver2,1526,255
27.5927,user2,0,27,user21,webserver2,2121,14
27.7482,user2,0,14,user21,webserver2,1668,21
28.023,user2,0,30,user21,webserver2,1962,67
29.1035,user2,0,26,user21,webserver2,2197,9
29.1481,user2,0,32,user21,webserver2,921,57
29.1532,user2,0,18,user21,webserver2,1247,19
29.2568,user2,0,26,user21,webserver2,1429,38
29.3161,user2,0,209,user21,webserver2,1872,113
29.4929,user2,0,22,user21,webserver2,975,26
29.6031,user2,0,113,user21,webserver2,1671,418
29.716,user2,0,3,user21,webserver2,1593,51
