atime,name.1,zeros,w.1.1,link.1.2,name.2,p.1.2,w.2.1,link.2.3,name.3,p.2.3,w.3
1,user1,0,5,user11,webserver,1,1,,,,
2,user1,0,5,user11,webserver,1,1,,,,
3,user1,0,5,user11,webserver,1,1,,,,
4,user1,0,5,user11,webserver,1,1,,,,
5,user1,0,5,user11,webserver,1,1,,,,
6,user1,0,5,user11,webserver,1,1,,,,
7,user1,0,5,user11,webserver,1,1,,,,
8,user1,0,5,user11,webserver,1,1,,,,
9,user1,0,5,user11,webserver,1,1,,,,
10,user1,0,5,user11,webserver,1,1,,,,
11,user1,0,5,user11,webserver,1,1,,,,
12,user1,0,5,user11,webserver,1,1,,,,
13,user1,0,5,user11,webserver,1,1,,,,
14,user1,0,5,user11,webserver,1,1,,,,
15,user1,0,5,user11,webserver,1,1,,,,
16,user1,0,5,user11,webserver,1,1,,,,
17,user1,0,5,user11,webserver,1,1,,,,
18,user1,0,5,user11,webserver,1,1,,,,
19,user1,0,5,user11,webserver,1,1,,,,
20,user1,0,5,user11,webserver,1,1,,,,
21,user1,0,5,user11,webserver,1,1,,,,
22,user1,0,5,user11,webserver,1,1,,,,
23,user1,0,5,user11,webserver,1,1,,,,
24,user1,0,5,user11,webserver,1,1,,,,
25,user1,0,5,user11,webserver,1,1,,,,
26,user1,0,5,user11,webserver,1,1,,,,
27,user1,0,5,user11,webserver,1,1,,,,
28,user1,0,5,user11,webserver,1,1,,,,
29,user1,0,5,user11,webserver,1,1,,,,
30,user1,0,5,user11,webserver,1,1,,,,
31,user1,0,5,user11,webserver,1,1,,,,
32,user1,0,5,user11,webserver,1,1,,,,
33,user1,0,5,user11,webserver,1,1,,,,
34,user1,0,5,user11,webserver,1,1,,,,
35,user1,0,5,user11,webserver,1,1,,,,
36,user1,0,5,user11,webserver,1,1,,,,
37,user1,0,5,user11,webserver,1,1,,,,
38,user1,0,5,user11,webserver,1,1,,,,
39,user1,0,5,user11,webserver,1,1,,,,
40,user1,0,5,user11,webserver,1,1,,,,
41,user1,0,5,user11,webserver,1,1,,,,
42,user1,0,5,user11,webserver,1,1,,,,
43,user1,0,5,user11,webserver,1,1,,,,
44,user1,0,5,user11,webserver,1,1,,,,
45,user1,0,5,user11,webserver,1,1,,,,
46,user1,0,5,user11,webserver,1,1,,,,
47,user1,0,5,user11,webserver,1,1,,,,
48,user1,0,5,user11,webserver,1,1,,,,
49,user1,0,5,user11,webserver,1,1,,,,
50,user1,0,5,user11,webserver,1,1,,,,
51,user1,0,5,user11,webserver,1,1,,,,
52,user1,0,5,user11,webserver,1,1,,,,
53,user1,0,5,user11,webserver,1,1,,,,
54,user1,0,5,user11,webserver,1,1,,,,
55,user1,0,5,user11,webserver,1,1,,,,
56,user1,0,5,user11,webserver,1,1,,,,
57,user1,0,5,user11,webserver,1,1,,,,
58,user1,0,5,user11,webserver,1,1,,,,
59,user1,0,5,user11,webserver,1,1,,,,
60,user1,0,5,user11,webserver,1,1,,,,
61,user1,0,5,user11,webserver,1,1,,,,
62,user1,0,5,user11,webserver,1,1,,,,
63,user1,0,5,user11,webserver,1,1,,,,
64,user1,0,5,user11,webserver,1,1,,,,
65,user1,0,5,user11,webserver,1,1,,,,
66,user1,0,5,user11,webserver,1,1,,,,
67,user1,0,5,user11,webserver,1,1,,,,
68,user1,0,5,user11,webserver,1,1,,,,
69,user1,0,5,user11,webserver,1,1,,,,
70,user1,0,5,user11,webserver,1,1,,,,
71,user1,0,5,user11,webserver,1,1,,,,
72,user1,0,5,user11,webserver,1,1,,,,
73,user1,0,5,user11,webserver,1,1,,,,
74,user1,0,5,user11,webserver,1,1,,,,
75,user1,0,5,user11,webserver,1,1,,,,
76,user1,0,5,user11,webserver,1,1,,,,
77,user1,0,5,user11,webserver,1,1,,,,
78,user1,0,5,user11,webserver,1,1,,,,
79,user1,0,5,user11,webserver,1,1,,,,
80,user1,0,5,user11,webserver,1,1,,,,
81,user1,0,5,user11,webserver,1,1,,,,
82,user1,0,5,user11,webserver,1,1,,,,
83,user1,0,5,user11,webserver,1,1,,,,
84,user1,0,5,user11,webserver,1,1,,,,
85,user1,0,5,user11,webserver,1,1,,,,
86,user1,0,5,user11,webserver,1,1,,,,
87,user1,0,5,user11,webserver,1,1,,,,
88,user1,0,5,user11,webserver,1,1,,,,
89,user1,0,5,user11,webserver,1,1,,,,
90,user1,0,5,user11,webserver,1,1,,,,
91,user1,0,5,user11,webserver,1,1,,,,
92,user1,0,5,user11,webserver,1,1,,,,
93,user1,0,5,user11,webserver,1,1,,,,
94,user1,0,5,user11,webserver,1,1,,,,
95,user1,0,5,user11,webserver,1,1,,,,
96,user1,0,5,user11,webserver,1,1,,,,
97,user1,0,5,user11,webserver,1,1,,,,
98,user1,0,5,user11,webserver,1,1,,,,
99,user1,0,5,user11,webserver,1,1,,,,
100,user1,0,5,user11,webserver,1,1,,,,
101,user1,0,5,user11,webserver,1,1,,,,
102,user1,0,5,user11,webserver,1,1,,,,
103,user1,0,5,user11,webserver,1,1,,,,
104,user1,0,5,user11,webserver,1,1,,,,
105,user1,0,5,user11,webserver,1,1,,,,
106,user1,0,5,user11,webserver,1,1,,,,
107,user1,0,5,user11,webserver,1,1,,,,
108,user1,0,5,user11,webserver,1,1,,,,
109,user1,0,5,user11,webserver,1,1,,,,
110,user1,0,5,user11,webserver,1,1,,,,
111,user1,0,5,user11,webserver,1,1,,,,
112,user1,0,5,user11,webserver,1,1,,,,
113,user1,0,5,user11,webserver,1,1,,,,
114,user1,0,5,user11,webserver,1,1,,,,
115,user1,0,5,user11,webserver,1,1,,,,
116,user1,0,5,user11,webserver,1,1,,,,
117,user1,0,5,user11,webserver,1,1,,,,
118,user1,0,5,user11,webserver,1,1,,,,
119,user1,0,5,user11,webserver,1,1,,,,
120,user1,0,5,user11,webserver,1,1,,,,
