atime,name.1,zeros,w.1.1,link.1.2,name.2,p.1.2,w.2.1,link.2.3,name.3,p.2.3,w.3
0,vm01,0,5,l12,vm02,1000,5,,,,
0.4,vm01,0,5,l12,vm02,1000,5,,,,
0.4,vm01,0,5,l12,vm02,1000,5,,,,
0.4,vm01,0,5,l12,vm02,1000,5,,,,
0.4,vm01,0,5,l12,vm02,1000,5,,,,
0.8,vm01,0,5,l12,vm02,1000,5,,,,
1.2,vm01,0,5,l12,vm02,1000,5,,,,
1.5,vm01,0,5,l12,vm02,1000,5,,,,
1.5,vm01,0,5,l12,vm02,1000,5,,,,
1.5,vm01,0,5,l12,vm02,1000,5,,,,
1.5,vm01,0,5,l12,vm02,1000,5,,,,
1.8,vm01,0,5,l12,vm02,1000,5,,,,
2.1,vm01,0,5,l12,vm02,1000,5,,,,
2.4,vm01,0,5,l12,vm02,1000,5,,,,
2.4,vm01,0,5,l12,vm02,1000,5,,,,
2.7,vm01,0,5,l12,vm02,1000,5,,,,
3,vm01,0,5,l12,vm02,1000,5,,,,
